History - His | Class-01 | Intro: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361659455112/6361659455112.m3u8
History - Class-02 | His | Voyage of Vascodagama: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361732773112/6361732773112.m3u8
History - Class-03 | His | Advent of Europeans: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361783216112/6361783216112.m3u8
History - Class-04 | His | British in India: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361829168112/6361829168112.m3u8
History - Class-05 | His | British in Bengal: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361868691112/6361868691112.m3u8
History - Class-06 | His | Battle of Buxar: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361913668112/6361913668112.m3u8
History - Class-07 | His | Battle of Buxar: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361954748112/6361954748112.m3u8
History - Class-08 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362015477112/6362015477112.m3u8
History - Class-09 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362054787112/6362054787112.m3u8
History - Class-10 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362105864112/6362105864112.m3u8
History - Class-11 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362148767112/6362148767112.m3u8
History - Class-12 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362198765112/6362198765112.m3u8
History - Class-13 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362339359112/6362339359112.m3u8
History - Class-14 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362385520112/6362385520112.m3u8
History - Class-15 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362484791112/6362484791112.m3u8
History - Class-16 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362538196112/6362538196112.m3u8
History - Class-17 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362666729112/6362666729112.m3u8
History - Class-18 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362706291112/6362706291112.m3u8
History - Class-19 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362792662112/6362792662112.m3u8
History - Class-20 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362831820112/6362831820112.m3u8
History - Class-21 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362873521112/6362873521112.m3u8
History - Class-22 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362936732112/6362936732112.m3u8
History - Class-23 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362977003112/6362977003112.m3u8
History - Class-24 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363067654112/6363067654112.m3u8
History - Class-25 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363115972112/6363115972112.m3u8
History - Class-26 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363231793112/6363231793112.m3u8
History - Class-27 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363277916112/6363277916112.m3u8
History - Class-28 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363325913112/6363325913112.m3u8
History - Class-29 | His | Regulating Act & Charter Acts: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363545309112/6363545309112.m3u8
